weekday_averages,weekday_counts,weekday_totals,weekend_averages,weekend_counts,weekend_totals
1090,54,58892,700,51,35715
720,32,23071,1002,32,32088
1043,50,52176,745,48,35760
849,57,48403,923,55,50779
978,45,44051,821,44,36124
837,37,30995,965,36,34748
806,53,42735,1028,51,52447
1084,40,43393,707,39,27598
903,49,44261,900,49,44112
906,47,42600,901,46,41476
819,34,27852,1005,33,33195
1011,35,35390,809,35,28326
753,47,35398,1083,45,48743
1100,46,50601,758,45,34129
1108,39,43244,772,37,28585
1145,44,50413,701,43,30169
797,57,45430,1106,53,58639
917,45,41282,965,43,41508
730,36,26286,1090,36,39260
990,40,39639,856,40,34257
1107,38,42102,762,38,28973
1156,33,38168,738,32,23627
1252,26,32562,638,26,16595
1200,32,38409,695,32,22253
924,29,26813,937,29,27179
990,41,40617,954,39,37217
1088,39,42434,806,39,31465
1086,34,36951,846,33,27941
943,33,31135,1052,30,31568
1163,37,43039,825,34,28053
976,30,29305,977,29,28354
1029,54,55575,923,53,48920
1128,40,45131,803,40,32143
942,27,25442,1055,25,26389
1045,34,35555,894,34,30429
1190,35,41682,824,32,26385
1028,44,45275,971,41,39839
1115,34,37934,895,32,28641
836,36,30117,1116,36,40204
1004,38,38184,958,38,36417
758,30,22768,1253,29,36348
1168,40,46754,813,40,32538
860,28,24097,1105,28,30967
1131,36,40738,877,35,30715
869,45,39142,1207,42,50699
826,45,37191,1189,44,52351
1099,34,37397,941,33,31066
740,31,22968,1267,31,39300
1223,29,35474,846,28,23688
1046,34,35587,1004,33,33151
745,36,26840,1249,36,44990
1068,29,30988,989,28,27709
1016,27,27455,1025,27,27695
1071,26,27864,1011,26,26294
1228,31,38089,863,30,25891
1311,37,48515,817,34,27788
1135,26,29515,1022,24,24540
1256,22,27646,819,22,18036
1061,40,42476,1018,40,40736
813,37,30091,1257,37,46526
1331,29,38601,789,29,22900
1421,42,59689,714,41,29279
1159,37,42914,990,35,34658
1192,31,36959,955,30,28669
1082,24,25988,1032,24,24790
1541,28,43161,609,27,16461
1322,33,43626,868,31,26926
1095,34,37243,1063,34,36145
1401,33,46254,804,31,24946
1310,30,39304,866,29,25132
1338,31,41493,844,30,25346
1236,34,42051,956,33,31561
931,26,24221,1202,26,31255
960,30,28819,1186,30,35608
1174,34,39930,1027,33,33892
1253,32,40119,1025,29,29746
873,31,27085,1302,31,40368
1118,28,31326,1062,28,29761
1295,19,24617,1010,17,17186
1406,32,44999,878,29,25464
938,29,27202,1262,29,36607
892,36,32136,1313,36,47280
1181,33,38997,1034,33,34139
977,28,27379,1317,26,34244
1304,19,24781,929,19,17652
1491,23,34298,804,22,17709
1103,33,36407,1183,32,37877
1212,30,36386,1054,29,30566
1408,33,46465,904,32,28947
965,29,27992,1300,29,37709
948,32,30344,1311,32,41983
1211,27,32719,1072,27,28947
1425,21,29938,886,20,17720
1123,34,38204,1201,33,39635
1314,27,35500,1056,25,26420
1556,33,51351,793,31,24589
1570,30,47103,805,28,22551
1583,18,28503,847,16,13563
1295,37,47935,1035,37,38311
1371,21,28793,1072,19,20381
1218,27,32910,1100,27,29719
1443,35,50523,953,34,32418
1098,20,21971,1247,20,24956
1348,27,36397,1125,25,28146
1439,27,38876,1000,25,25021
782,22,17222,1645,21,34549
1245,29,36117,1158,28,32442
1253,23,28831,1155,22,25417
1099,26,28598,1293,25,32347
1575,23,36236,850,22,18707
1746,21,36682,707,20,14140
1223,28,34245,1218,27,32897
1500,28,42022,926,28,25932
851,29,24691,1548,29,44905
1267,31,39287,1133,31,35142
1069,35,37427,1386,34,47153
1211,31,37541,1351,28,37835
1662,18,29917,798,18,14364
1350,28,37818,1152,27,31124
1079,21,22670,1368,21,28740
1355,24,32526,1150,23,26457
1535,25,38385,1044,23,24023
1405,27,37946,1104,26,28708
1099,21,23087,1400,21,29411
1356,30,40691,1155,29,33503
1224,27,33051,1299,26,33786
1676,29,48613,887,28,24857
1111,30,33330,1419,29,41175
1154,31,35780,1353,31,41959
1001,28,28049,1540,27,41606
1239,23,28503,1337,22,29418
1085,31,33646,1482,30,44470
1191,33,39312,1376,32,44045
1657,22,36467,961,21,20192
1279,29,37091,1272,29,36911
973,24,23356,1635,23,37606
929,28,26022,1584,28,44360
879,21,18479,1727,20,34544
1386,17,23568,1250,16,20014
1432,28,40122,1207,27,32591
1006,26,26177,1675,24,40217
1473,25,36843,1205,23,27722
1419,32,45410,1188,32,38025
1366,31,42371,1272,30,38173
1617,23,37207,1039,22,22873
917,21,19268,1779,20,35585
1282,29,37188,1345,29,39020
840,26,21852,1761,26,45794
1461,22,32158,1166,22,25658
1217,29,35298,1422,29,41257
1502,27,40569,1238,25,30960
1570,26,40820,1141,25,28526
1529,29,44352,1216,28,34071
1212,25,30311,1518,24,36450
1470,24,35291,1192,24,28614
1574,25,39371,1252,23,28802
1988,22,43745,827,19,15714
1388,24,33312,1425,22,31354
1435,25,35876,1321,24,31709
843,23,19410,1905,22,41922
1430,16,22885,1420,15,21312
1254,20,25088,1461,20,29220
1576,25,39416,1215,24,29177
1891,21,39717,943,20,18869
2219,14,31076,595,14,8336
1935,19,36777,902,18,16239
1890,18,34020,944,17,16064
1235,16,19768,1735,14,24303
1482,25,37063,1411,23,32464
1816,19,34511,1005,19,19097
1345,28,37660,1577,26,41024
1249,23,28741,1594,22,35078
1108,21,23273,1762,20,35257
2240,14,31372,610,14,8546
1691,12,20302,1356,10,13569
1475,20,29502,1460,19,27756
1871,17,31816,1049,16,16789
1665,20,33307,1248,20,24969
1298,36,46735,1542,36,55517
1954,15,29323,1268,11,13955
1728,22,38037,1176,21,24705
1684,26,43796,1232,25,30811
2102,7,14718,802,7,5615
2094,17,35598,872,16,13958
1440,25,36018,1608,23,36987
1801,18,32431,1152,17,19586
1138,16,18213,1742,16,27884
1774,15,26615,1152,15,17293
797,15,11956,2045,15,30676
1920,14,26893,1084,13,14093
1966,9,17694,1224,7,8573
2065,13,26850,1061,11,11672
2141,17,36399,860,17,14629
785,19,14925,2092,19,39752
1697,16,27156,1363,15,20458
1873,18,33717,1258,16,20130
1457,23,33517,1489,23,34266
1780,17,30274,1452,14,20329
2272,15,34094,902,13,11735
1344,16,21507,1650,16,26400
2023,9,18211,1127,8,9020
1549,14,21698,1594,13,20730
1260,17,21435,1713,17,29132
1881,15,28222,1483,12,17804
1676,20,33536,1342,20,26845
1956,16,31299,1595,11,17546
1157,16,18513,1888,16,30221
1068,15,16032,2088,14,29245
1227,20,24550,1780,20,35608
1829,12,21952,1246,12,14955
1141,11,12561,2087,10,20877
2696,14,37744,549,11,6043
1869,15,28042,1304,14,18264
1192,16,19074,2019,15,30286
2024,17,34419,1227,15,18409
1168,11,12850,1937,11,21317
2026,11,22286,1209,10,12095
1256,10,12560,2018,9,18169
1322,12,15873,1775,12,21306
1825,14,25555,1405,13,18265
915,21,19219,2198,21,46160
3024,12,36296,268,12,3222
2372,19,45076,923,17,15707
1642,10,16421,2216,7,15516
2309,10,23093,1159,8,9273
2285,20,45709,926,20,18528
2153,9,19382,1036,9,9327
2464,12,29576,930,10,9300
1630,10,16306,1554,10,15549
1681,10,16810,1574,10,15743
1448,18,26080,1938,16,31013
2041,16,32669,1255,15,18836
1491,20,29838,1908,18,34350
1671,18,30078,1668,17,28360
1467,7,10270,1814,7,12698
1362,22,29970,1860,22,40921
1846,11,20308,1471,11,16188
1717,16,27476,1617,16,25887
2460,15,36910,1160,11,12769
935,11,10287,2576,10,25763
1314,15,19721,1917,15,28756
2427,14,33984,918,14,12863
1856,9,16706,1577,8,12622
1776,17,30193,1588,16,25422
1579,15,23688,1730,15,25953
1711,12,20535,1741,11,19156
1416,12,16994,2064,11,22705
687,10,6870,2586,10,25867
1028,17,17481,2306,17,39215
1727,14,24189,1680,14,23529
1734,4,6937,1629,4,6519
2557,8,20456,976,7,6835
2671,13,34731,959,12,11513
2170,16,34725,1411,14,19762
2091,22,46023,1415,21,29718
699,10,6990,2617,10,26170
1843,19,35023,1581,19,30045
2127,18,38286,1384,17,23535
2047,14,28667,1707,12,20491
1603,26,41687,1820,26,47342
1405,15,21086,2000,15,30002
1353,13,17595,2256,12,27079
1174,12,14098,2212,12,26547
1979,18,35624,1517,18,27314
2944,11,32392,1169,6,7019
2449,22,53897,1193,20,23867
909,12,10914,2760,11,30369
1809,12,21711,1692,12,20306
1476,12,17712,2156,11,23726
2073,19,39402,1626,17,27656
1553,7,10876,1972,7,13808
2222,13,28890,1425,12,17105
1842,18,33173,1733,18,31204
835,18,15035,2658,18,47846
2177,12,26129,1434,12,17212
2297,21,48256,1374,20,27490
1134,16,18149,2397,16,38359
730,10,7309,2793,10,27930
2618,14,36658,1003,14,14048
2569,19,48821,1177,18,21200
2054,16,32865,1559,16,24944
2383,8,19067,1337,8,10697
2381,14,33338,1499,12,17988
2016,13,26216,1892,11,20822
1863,20,37277,1794,20,35898
598,19,11364,2952,19,56098
1488,18,26793,2599,15,38993
2390,16,38252,1759,12,21118
2445,12,29342,1203,12,14437
2442,17,41529,1425,15,21381
858,13,11157,2730,13,35500
2133,9,19205,1575,9,14183
2196,17,37335,1487,17,25293
2388,11,26277,1573,9,14158
2320,13,30167,1408,13,18304
